mesh2,lon,lat,pjan,pfeb,pmar,papr,pmay,pjun,pjul,paug,psep,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
664360,143.0625,44.541666500000005,50.77058823529412,34.826470588235296,43.27647058823529,46.305882352941175,64.2764705882353,64.12352941176471,104.04705882352941,119.7764705882353,131.02941176470588,90.15882352941176,73,59.95882352941177,-6.847058823529411,-6.911764705882353,-2.538235294117647,3.8294117647058825,8.65,12.132352941176471,16.220588235294116,18.83529411764706,15.223529411764705,9.211764705882352,2.4382352941176473,-3.3823529411764706
664400,144.0625,44.041666500000005,47.79354838709678,34.28172043010753,35.413978494623656,42.284946236559136,55.96774193548387,62.71720430107527,94.06344086021505,109.88494623655914,121.06774193548387,74.17311827956989,60.33225806451613,49.88602150537634,-7.555913978494623,-7.991397849462365,-2.934408602150538,3.99247311827957,9.526881720430108,13.288172043010753,17.22795698924731,19.463440860215055,15.55268817204301,9.316129032258065,2.529032258064516,-4.149462365591398
664401,144.18750000000003,44.041666500000005,48.92388059701492,35.19253731343284,41.982089552238804,48.2044776119403,60.07313432835821,64.85522388059701,90.97313432835821,105.95074626865672,118.94626865671641,71.82835820895522,61.00149253731343,53.505970149253734,-6.329850746268657,-6.874626865671642,-2.3134328358208953,4.1985074626865675,9.408955223880596,13.008955223880596,16.965671641791044,19.419402985074626,15.97910447761194,10.092537313432835,3.2686567164179103,-3.2149253731343284
664402,144.31250000000003,44.041666500000005,50.03333333333333,33.65238095238095,42.338095238095235,50.680952380952384,62.695238095238096,59.304761904761904,88.8047619047619,102.0047619047619,112.31428571428572,71.35714285714286,60.628571428571426,56.72857142857143,-5.59047619047619,-6.2,-1.9047619047619047,4.4904761904761905,9.433333333333334,13.119047619047619,17.104761904761904,19.6,16.333333333333332,10.557142857142857,3.719047619047619,-2.5714285714285716
664407,144.9375,44.041666500000005,79.31,52.244,60.95,84.002,99.284,76.77,106.292,119.894,139.778,114.636,108.72,91.202,-6.274,-7.144,-3.114,3.256,8.72,12.526,16.352,18.432,14.918,9.466,2.796,-2.96
664410,144.0625,44.125,40.208474576271186,25.3,32.22033898305085,41.19830508474576,56.37457627118644,60.66779661016949,92.40677966101696,104.40847457627119,116.6457627118644,69.2593220338983,54.29322033898305,46.42203389830509,-6.684745762711865,-7.328813559322034,-2.574576271186441,4.154237288135593,9.415254237288135,13.04406779661017,17.04915254237288,19.527118644067798,15.935593220338983,9.915254237288135,3.223728813559322,-3.183050847457627
664411,144.1875,44.125,40.1,25.517857142857142,35.29642857142857,47.096428571428575,58.85357142857143,67.86428571428571,106.23928571428571,107.52142857142857,133.52142857142857,70.83571428571429,61.80357142857143,51.47857142857143,-5.8,-6.517857142857143,-2.1107142857142858,4.142857142857143,9.075,12.685714285714285,16.707142857142856,19.307142857142857,16.160714285714285,10.4,3.7535714285714286,-2.6107142857142858
664412,144.3125,44.125,37.15,22.375,33.75,49.875,63.025,69.95,109.35,109.35,138.2,70.15,66.15,52.9,-5.2,-6.025,-1.725,4.375,8.9,12.625,16.675,19.325,16.45,10.775,4.15,-2.2
664500,145.0625,44.041666500000005,87.084,61.932,73.122,87.113,108.552,82.423,112.36,143.012,145.575,144.776,116.364,98.459,-8.201,-9.376,-5.447,0.698,6.001,10.13,14.074,16.11,12.759,7.175,0.708,-4.973
664501,145.1875,44.041666500000005,75.81951219512194,57.46585365853659,55.16463414634146,85.83780487804879,106.0890243902439,86.34268292682927,116.01585365853659,168.55975609756098,151.0487804878049,135.68048780487806,120.29146341463415,98.85121951219512,-6.657317073170732,-7.737804878048781,-3.6841463414634146,2.5621951219512193,6.908536585365853,10.879268292682926,14.729268292682926,17.152439024390244,14.289024390243902,8.43170731707317,2.4902439024390244,-3.220731707317073
664505,145.68749999999997,44.041666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664506,145.81249999999997,44.041666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664507,145.9375,44.041666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664510,145.0625,44.125,88.66140350877193,62.666666666666664,65.34912280701755,84.60350877192982,107.9719298245614,82.8,115.20877192982456,137.05263157894737,151.1964912280702,129.83684210526314,123.95087719298246,105.03157894736842,-6.480701754385965,-7.464912280701754,-3.212280701754386,2.3228070175438598,7.6192982456140355,11.564912280701755,15.43859649122807,17.696491228070176,14.701754385964913,9.675438596491228,2.8333333333333335,-3.1842105263157894
664511,145.1875,44.125,83.459,64.466,67.371,86.028,109.991,85.102,117.818,159.421,154.347,150.387,124.522,106.25,-8.653,-9.749,-5.58,-0.05199999999999999,4.668,8.898,12.911,15.169,12.456,7.116,0.676,-5.232
664512,145.3125,44.125,75.14117647058823,56.84117647058824,55.87647058823529,85.65294117647059,105.40588235294118,85.24117647058823,119,167.44117647058823,154.4823529411765,123.88235294117646,117.85882352941177,102.12352941176471,-5.5058823529411764,-6.4,-2.3529411764705883,3.564705882352941,7.8764705882352946,11.68235294117647,15.5,18.152941176470588,15.51764705882353,9.894117647058824,3.7294117647058824,-1.9823529411764707
664515,145.6875,44.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664516,145.8125,44.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664517,145.9375,44.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664521,145.1875,44.208333499999995,86.88846153846154,50.67115384615384,81.48461538461538,84.94807692307693,105.29615384615384,83.29230769230769,115.71346153846154,136.57692307692307,155.32692307692307,129.72307692307692,119.23076923076923,92.13461538461539,-6.2,-7.1692307692307695,-2.9634615384615386,2.294230769230769,7.163461538461538,11.063461538461539,14.944230769230769,17.48076923076923,14.948076923076924,9.840384615384615,3.098076923076923,-2.832692307692308
664522,145.31249999999997,44.208333499999995,75.41095890410959,32.24794520547945,83.79178082191781,83.71506849315068,102.04246575342465,81.94657534246575,114.96849315068494,118.37808219178082,154.5917808219178,129.2109589041096,113.35753424657534,71.08356164383562,-7.183561643835616,-8.282191780821918,-4.256164383561644,1.3178082191780822,5.7246575342465755,9.689041095890412,13.647945205479452,16.187671232876713,13.76986301369863,8.306849315068494,2.0424657534246573,-3.808219178082192
664526,145.81249999999997,44.208333499999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664527,145.9375,44.208333499999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664531,145.1875,44.291666500000005,48.93333333333333,24.166666666666668,84.33333333333333,81,98.73333333333333,78.83333333333333,109.9,110.76666666666667,153,122,111.5,62.766666666666666,-5.266666666666667,-6.6,-2.0666666666666664,2.2666666666666666,7.233333333333333,11.166666666666666,15.033333333333333,17.7,15.700000000000001,11,3.966666666666667,-2.3666666666666667
664532,145.31249999999997,44.291666500000005,37.87972972972973,22.075675675675676,59.10405405405405,80.62837837837837,94.74459459459459,78.95945945945945,110.92297297297297,106.7581081081081,155.27162162162162,117.19864864864864,110.41486486486487,63.222972972972975,-6.15,-7.379729729729729,-3.2135135135135133,1.8135135135135134,6.416216216216216,10.235135135135135,14.164864864864866,16.818918918918918,14.740540540540541,9.622972972972972,3.0716216216216217,-3.018918918918919
664537,145.9375,44.291666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664542,145.3125,44.375,33.11666666666667,16.233333333333334,33.900000000000006,80.06666666666666,89.25,79.5,111.48333333333333,107.85,161.5,99.01666666666667,99.21666666666667,63.36666666666667,-4.816666666666666,-5.766666666666667,-1.8333333333333335,3.683333333333333,7.866666666666667,11.566666666666666,15.433333333333334,18.266666666666666,16.133333333333333,10.916666666666666,4.483333333333333,-1.5166666666666666
664620,146.0625,44.208333499999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664630,146.0625,44.291666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664631,146.18750000000003,44.291666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664632,146.31250000000003,44.291666500000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
